********************************************************************************
product = WebSphere Application Server 18.0.0.1 (wlp-1.0.20.cl180120180309-2209)
wlp.install.dir = C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7/target/liberty/wlp/
server.config.dir = C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7-wlpcfg/servers/daytrader7Sample/
java.home = C:\Program Files\Java\jdk1.8.0_151\jre
java.version = 1.8.0_151
java.runtime = Java(TM) SE Runtime Environment (1.8.0_151-b12)
os = Windows 10 (10.0; amd64) (en_US)
process = 12152@Asus-GL553
********************************************************************************
[6/06/18 19:44:08:235 CEST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server daytrader7Sample has been launched.
[6/06/18 19:44:08:246 CEST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0100I: This product is licensed for development, and limited production use. The full license terms can be viewed here: https://public.dhe.ibm.com/ibmdl/export/pub/software/websphere/wasdev/license/base_ilan/ilan/18.0.0.1/lafiles/en.html
[6/06/18 19:44:10:181 CEST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 6,678 seconds
[6/06/18 19:44:10:232 CEST] 0000001b com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[6/06/18 19:44:14:424 CEST] 00000013 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[6/06/18 19:44:14:498 CEST] 00000027 com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: TCP Channel defaultHttpEndpoint has been started and is now listening for requests on host *  (IPv6) port 9082.
[6/06/18 19:44:19:760 CEST] 00000013 com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: TCP Channel wasJmsEndpoint362 has been started and is now listening for requests on host 127.0.0.1  (IPv4: 127.0.0.1) port 7276.
[6/06/18 19:44:20:306 CEST] 00000013 com.ibm.ws.sib.utils.ras.SibMessage                          I  CWSIS1553I: The minimum reserved size in the configuration information of the permanent store file is 20.971.520 bytes. The maximum size is 209.715.200 bytes.
[6/06/18 19:44:20:310 CEST] 00000013 com.ibm.ws.sib.utils.ras.SibMessage                          I  CWSIS1557I: The minimum reserved size in the configuration information of the temporary store file is 20.971.520 bytes. The maximum size is 209.715.200 bytes.
[6/06/18 19:44:20:548 CEST] 00000013 com.ibm.ws.sib.utils.ras.SibMessage                          I  CWSID0108I: JMS server has started.  
[6/06/18 19:44:20:811 CEST] 00000013 com.ibm.ws.transport.iiop.internal.ORBWrapperInternal        A CWWKI0001I: The CORBA name server is now available at corbaloc:iiop:localhost:2809/NameService.
[6/06/18 19:44:21:066 CEST] 00000059 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application daytrader7.
[6/06/18 19:44:22:108 CEST] 00000059 com.ibm.ws.jca.cm.ConnectorService                           I J2CA8050I: An authentication alias should be used instead of defining a user name and password on dataSource[DefaultDataSource].
[6/06/18 19:44:22:246 CEST] 00000059 com.ibm.ws.recoverylog.spi.RecoveryDirectorImpl              I CWRLS0010I: Performing recovery processing for local WebSphere server (daytrader7Sample).
[6/06/18 19:44:22:263 CEST] 00000065 com.ibm.ws.recoverylog.spi.LogHandle                         I CWRLS0007I: No existing recovery log files found in /C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7-wlpcfg/servers/daytrader7Sample/tranlog/\tranlog. Cold starting the recovery log.
[6/06/18 19:44:22:263 CEST] 00000065 com.ibm.ws.recoverylog.spi.LogFileHandle                     I CWRLS0006I: Creating new recovery log file /C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7-wlpcfg/servers/daytrader7Sample/tranlog/\tranlog\log1.
[6/06/18 19:44:22:273 CEST] 00000065 com.ibm.ws.recoverylog.spi.LogFileHandle                     I CWRLS0006I: Creating new recovery log file /C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7-wlpcfg/servers/daytrader7Sample/tranlog/\tranlog\log2.
[6/06/18 19:44:22:293 CEST] 00000065 com.ibm.ws.recoverylog.spi.LogHandle                         I CWRLS0007I: No existing recovery log files found in /C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7-wlpcfg/servers/daytrader7Sample/tranlog/\partnerlog. Cold starting the recovery log.
[6/06/18 19:44:22:293 CEST] 00000065 com.ibm.ws.recoverylog.spi.LogFileHandle                     I CWRLS0006I: Creating new recovery log file /C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7-wlpcfg/servers/daytrader7Sample/tranlog/\partnerlog\log1.
[6/06/18 19:44:22:294 CEST] 00000065 com.ibm.ws.recoverylog.spi.LogFileHandle                     I CWRLS0006I: Creating new recovery log file /C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7-wlpcfg/servers/daytrader7Sample/tranlog/\partnerlog\log2.
[6/06/18 19:44:22:332 CEST] 00000059 com.ibm.ws.recoverylog.spi.RecoveryDirectorImpl              I CWRLS0012I: All persistent services have been directed to perform recovery processing for this WebSphere server (daytrader7Sample).
[6/06/18 19:44:22:333 CEST] 00000065 com.ibm.tx.jta.impl.RecoveryManager                          I WTRN0135I: Transaction service recovering no transactions.
[6/06/18 19:44:23:082 CEST] 00000059 org.jboss.weld.Version                                       I WELD-000900: 2.4.5 (Final)
[6/06/18 19:44:24:367 CEST] 00000059 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[6/06/18 19:44:24:374 CEST] 00000059 com.ibm.ws.ejbcontainer.osgi.internal.EJBRuntimeImpl         I CNTR4000I: The daytrader-ee7-ejb.jar EJB module in the daytrader7 application is starting.
[6/06/18 19:44:24:443 CEST] 00000059 com.ibm.ws.ejbcontainer.runtime.AbstractEJBRuntime           I CNTR0167I: The server is binding the com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote interface of the TradeSLSBBean enterprise bean in the daytrader-ee7-ejb.jar module of the daytrader7 application.  The binding location is: java:global/daytrader-ee7/daytrader-ee7-ejb/TradeSLSBBean!com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote
[6/06/18 19:44:24:446 CEST] 00000059 com.ibm.ws.ejbcontainer.runtime.AbstractEJBRuntime           I CNTR0167I: The server is binding the com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal interface of the TradeSLSBBean enterprise bean in the daytrader-ee7-ejb.jar module of the daytrader7 application.  The binding location is: java:global/daytrader-ee7/daytrader-ee7-ejb/TradeSLSBBean!com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal
[6/06/18 19:44:24:446 CEST] 00000059 com.ibm.ws.ejbcontainer.runtime.AbstractEJBRuntime           I CNTR0167I: The server is binding the com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton interface of the MarketSummarySingleton enterprise bean in the daytrader-ee7-ejb.jar module of the daytrader7 application.  The binding location is: java:global/daytrader-ee7/daytrader-ee7-ejb/MarketSummarySingleton!com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton
[6/06/18 19:44:24:447 CEST] 00000059 com.ibm.ws.ejbcontainer.runtime.AbstractEJBRuntime           I CNTR0180I: The DTStreamer3MDB message-driven bean in the daytrader-ee7-ejb.jar module of the daytrader7 application is bound to the eis/TradeStreamerMDB activation specification.
[6/06/18 19:44:24:447 CEST] 00000059 com.ibm.ws.ejbcontainer.runtime.AbstractEJBRuntime           I CNTR0180I: The DTBroker3MDB message-driven bean in the daytrader-ee7-ejb.jar module of the daytrader7 application is bound to the eis/TradeBrokerMDB activation specification.
[6/06/18 19:44:24:452 CEST] 00000059 com.ibm.ws.ejbcontainer.runtime.AbstractEJBRuntime           I CNTR0219I: The server created 0 persistent automatic timer or timers and 1 non-persistent automatic timer or timers for the daytrader-ee7-ejb.jar module.
[6/06/18 19:44:24:452 CEST] 00000059 com.ibm.ws.ejbcontainer.osgi.internal.EJBRuntimeImpl         I CNTR4001I: The daytrader-ee7-ejb.jar EJB module in the daytrader7 application has started successfully.
[6/06/18 19:44:24:464 CEST] 00000059 com.ibm.ws.ejbcontainer.osgi.internal.EJBRuntimeImpl         I CNTR4000I: The daytrader-ee7-web.war EJB module in the daytrader7 application is starting.
[6/06/18 19:44:24:464 CEST] 00000059 com.ibm.ws.ejbcontainer.runtime.AbstractEJBRuntime           I CNTR0167I: The server is binding the com.ibm.websphere.samples.daytrader.web.prims.PingEJBIFace interface of the PingEJBLocal enterprise bean in the daytrader-ee7-web.war module of the daytrader7 application.  The binding location is: java:global/daytrader-ee7/daytrader-ee7-web/PingEJBLocal!com.ibm.websphere.samples.daytrader.web.prims.PingEJBIFace
[6/06/18 19:44:24:464 CEST] 00000059 com.ibm.ws.ejbcontainer.osgi.internal.EJBRuntimeImpl         I CNTR4001I: The daytrader-ee7-web.war EJB module in the daytrader7 application has started successfully.
[6/06/18 19:44:24:470 CEST] 00000059 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: DayTrader Web.
[6/06/18 19:44:24:472 CEST] 00000059 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module DayTrader Web has been bound to default_host.
[6/06/18 19:44:24:473 CEST] 00000059 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://aca8a301.ipt.aol.com:9082/daytrader/
[6/06/18 19:44:24:479 CEST] 00000059 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: Application daytrader7 started in 3,413 seconds.
[6/06/18 19:44:24:507 CEST] 00000044 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/daytrader
[6/06/18 19:44:24:525 CEST] 00000044 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation.
[6/06/18 19:44:24:671 CEST] 00000044 com.ibm.ws.wsoc.EndpointManager                              I CWWKH0046I: Adding a WebSocket ServerEndpoint with the following URI: /pingBinary
[6/06/18 19:44:24:672 CEST] 00000044 com.ibm.ws.wsoc.EndpointManager                              I CWWKH0046I: Adding a WebSocket ServerEndpoint with the following URI: /pingTextSync
[6/06/18 19:44:24:674 CEST] 00000044 com.ibm.ws.wsoc.EndpointManager                              I CWWKH0046I: Adding a WebSocket ServerEndpoint with the following URI: /marketsummary
[6/06/18 19:44:24:674 CEST] 00000044 com.ibm.ws.wsoc.EndpointManager                              I CWWKH0046I: Adding a WebSocket ServerEndpoint with the following URI: /pingTextAsync
[6/06/18 19:44:24:674 CEST] 00000044 com.ibm.ws.wsoc.EndpointManager                              I CWWKH0046I: Adding a WebSocket ServerEndpoint with the following URI: /pingWebSocketJson
[6/06/18 19:44:24:754 CEST] 00000044 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Reading standard config META-INF/standard-faces-config.xml
[6/06/18 19:44:24:756 CEST] 0000001b com.ibm.ws.sib.utils.ras.SibMessage                          I  CWSIV0777I: A connection to messaging engine defaultME for destination TradeTopicSpace on bus defaultBus has been successfully created.
[6/06/18 19:44:24:757 CEST] 0000001b com.ibm.ws.sib.utils.ras.SibMessage                          I  CWSIV0556I: Connection to the Messaging Engine was successful. The message-driven bean with activation specification eis/TradeStreamerMDB will now be able to receive the messages from destination TradeTopicSpace.
[6/06/18 19:44:24:757 CEST] 0000001b com.ibm.ws.jca.service.EndpointActivationService             I J2CA8801I: The message endpoint for activation specification eis/TradeStreamerMDB and message driven bean application daytrader7#daytrader-ee7-ejb.jar#DTStreamer3MDB is activated.
[6/06/18 19:44:24:772 CEST] 0000001b com.ibm.ws.sib.utils.ras.SibMessage                          I  CWSIV0777I: A connection to messaging engine defaultME for destination TradeBrokerQueue on bus defaultBus has been successfully created.
[6/06/18 19:44:24:773 CEST] 0000001b com.ibm.ws.sib.utils.ras.SibMessage                          I  CWSIV0556I: Connection to the Messaging Engine was successful. The message-driven bean with activation specification eis/TradeBrokerMDB will now be able to receive the messages from destination TradeBrokerQueue.
[6/06/18 19:44:24:773 CEST] 0000001b com.ibm.ws.jca.service.EndpointActivationService             I J2CA8801I: The message endpoint for activation specification eis/TradeBrokerMDB and message driven bean application daytrader7#daytrader-ee7-ejb.jar#DTBroker3MDB is activated.
[6/06/18 19:44:24:825 CEST] 0000001b com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0012I: The server installed the following features: [jsp-2.3, ejbLite-3.2, jsf-2.2, servlet-3.1, beanValidation-1.1, jndi-1.0, ejbHome-3.2, jca-1.7, ejbPersistentTimer-3.2, localConnector-1.0, jsonp-1.0, jdbc-4.1, wasJmsServer-1.0, el-3.0, concurrent-1.0, ejbRemote-3.2, mdb-3.2, ejb-3.2, jpaContainer-2.1, cdi-1.2, websocket-1.1, jpa-2.1, wasJmsClient-2.0].
[6/06/18 19:44:24:825 CEST] 0000001b com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0008I: Feature update completed in 14,658 seconds.
[6/06/18 19:44:24:825 CEST] 0000001b com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0011I: The server daytrader7Sample is ready to run a smarter planet.
[6/06/18 19:44:24:920 CEST] 00000044 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Reading config /WEB-INF/faces-config.xml
[6/06/18 19:44:25:008 CEST] 00000044 org.apache.myfaces.spi.impl.DefaultInjectionProviderFactory  I Using InjectionProvider com.ibm.ws.jsf.spi.impl.WASCDIAnnotationDelegateInjectionProvider
[6/06/18 19:44:25:042 CEST] 00000044 org.apache.myfaces.util.ExternalSpecifications               I MyFaces CDI support enabled
[6/06/18 19:44:25:042 CEST] 0000006b com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at C:\Users\joach\Desktop\New folder\sample.daytrader7-master\daytrader-ee7-wlpcfg\servers\daytrader7Sample\logs\state\plugin-cfg.xml.
[6/06/18 19:44:25:061 CEST] 00000044 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Bean Validation support enabled
[6/06/18 19:44:25:156 CEST] 00000044 org.apache.myfaces.config.FacesConfigurator                  I Serialization provider : class org.apache.myfaces.shared_impl.util.serial.DefaultSerialFactory
[6/06/18 19:44:25:611 CEST] 00000044 org.apache.myfaces.webapp.AbstractFacesInitializer           I ServletContext initialized.
[6/06/18 19:44:25:614 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I Tomahawk jar not available. Autoscrolling, DetectJavascript, AddResourceClass and CheckExtensionsFilter are disabled now.
[6/06/18 19:44:25:614 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I Scanning for context init parameters not defined. It is not necessary to define them all into your web.xml, they are just provided here for informative purposes. To disable this messages set org.apache.myfaces.LOG_WEB_CONTEXT_PARAMS config param to 'false'
[6/06/18 19:44:25:614 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.RESOURCE_EXCLUDES' found, using default value '.class .jsp .jspx .properties .xhtml .groovy'.
[6/06/18 19:44:25:615 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FULL_STATE_SAVING_VIEW_IDS' found.
[6/06/18 19:44:25:615 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.PARTIAL_STATE_SAVING' found, using default value 'true (false with 1.2 webapps)'.
[6/06/18 19:44:25:615 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.SERIALIZE_SERVER_STATE' found, using default value 'false'.
[6/06/18 19:44:25:615 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_SUFFIX' found, using default value '.xhtml'.
[6/06/18 19:44:25:615 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_VIEW_MAPPINGS' found.
[6/06/18 19:44:25:615 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'DISABLE_FACELET_JSF_VIEWHANDLER' found.
[6/06/18 19:44:25:615 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_BUFFER_SIZE' found, using default value '1024'.
[6/06/18 19:44:25:615 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_DECORATORS' found.
[6/06/18 19:44:25:615 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_LIBRARIES' found.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_REFRESH_PERIOD' found, using default value '-1'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.FACELETS_SKIP_COMMENTS' found.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.HONOR_CURRENT_COMPONENT_ATTRIBUTES' found, using default value 'false'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.VALIDATE_EMPTY_FIELDS' found, using default value 'auto'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.INTERPRET_EMPTY_STRING_SUBMITTED_VALUES_AS_NULL' found, using default value 'false'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.DATETIMECONVERTER_DEFAULT_TIMEZONE_IS_SYSTEM_TIMEZONE' found, using default value 'false'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.ENUM_CONVERTER_ALLOW_STRING_PASSTROUGH' found, using default value 'false'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.validator.DISABLE_DEFAULT_BEAN_VALIDATOR' found, using default value 'true'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.CONFIG_FILES' found.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'javax.faces.LIFECYCLE_ID' found.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.ERROR_HANDLER' found.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CHECKED_VIEWID_CACHE_SIZE' found, using default value '500'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CHECKED_VIEWID_CACHE_ENABLED' found, using default value 'true'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.PRETTY_HTML' found, using default value 'true'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.ALLOW_JAVASCRIPT' found, using default value 'true'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CONFIG_REFRESH_PERIOD' found, using default value '2'.
[6/06/18 19:44:25:616 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.VIEWSTATE_JAVASCRIPT' found, using default value 'false'.
